_midpoint_,MALE,FEMALE
5,0.590551181102362,1.47058823529412
10,1.18110236220472,1.65441176470588
15,0.393700787401575,0.919117647058823
20,11.6141732283465,10.6617647058824
25,0.393700787401575,1.10294117647059
30,0.78740157480315,1.65441176470588
35,0.590551181102362,0.183823529411765
40,0.393700787401575,0.919117647058823
45,0.984251968503937,0.919117647058823
50,0.590551181102362,0.551470588235294
55,6.69291338582677,6.61764705882353
60,8.85826771653543,9.19117647058824
65,16.1417322834646,14.5220588235294
70,19.6850393700787,19.3014705882353
75,19.2913385826772,18.3823529411765
80,7.08661417322835,6.98529411764706
85,2.36220472440945,2.94117647058824
90,0.78740157480315,0.183823529411765
95,0.984251968503937,1.10294117647059
100,0.590551181102362,0.735294117647059
